r_fighter,b_fighter,r_win,b_win,wei_class,method,round,time,t_format,ref,details,r_kd,b_kd,r_sigstr,b_sigstr,r_totstr,b_totstr,r_td,b_td,r_sub,b_sub,r_rev,b_rev,r_ctrl,b_ctrl,r_hstr,b_hstr,r_bstr,b_bstr,r_lstr,b_lstr,r_dis,b_dis,r_cli,b_cli,r_gro,b_gro
Mark Bocek,Benson Henderson,0,1,Lightweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Yves Lavigne,,0,0,0.32,0.44,0.58,0.6,0.36,0.75,2,0,1,0,267,332,0.23,0.3,0.6,0.76,0.67,0.85,0.2,0.22,0.57,0.68,0.43,0.54
Gleison Tibau,Rafaello Oliveira,1,0,Lightweight Bout,Submission,2,3:28,3 Rnd (5-5-5),Kim Winslow,Rear Naked Choke,1,0,0.34,0.25,0.49,0.29,1.0,0.0,2,0,0,0,141,14,0.33,0.11,0.5,0.67,0,0.67,0.2,0.23,1.0,1.0,0.69,0
Miguel Torres,Demetrious Johnson,0,1,Bantamweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Josh Rosenthal,,0,0,0.53,0.57,0.83,0.68,0.0,1.0,3,0,2,1,273,520,0.3,0.22,0.88,0.75,0.0,0.83,0.12,0.5,0.89,0.8,0.5,0
Cole Escovedo,Renan Barao,0,1,Bantamweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Steve Mazzagatti,,0,0,0.45,0.52,0.57,0.69,0.0,0.85,0,0,0,0,12,513,0.24,0.36,0.93,0.89,0.62,0.64,0.45,0.51,0.33,1.0,0.5,0.75
Brian Stann,Jorge Santiago,1,0,Middleweight Bout,KO/TKO,2,4:29,3 Rnd (5-5-5),Herb Dean,Punch to Head At Distance,2,0,0.47,0.33,0.57,0.36,0.0,0.0,0,0,0,0,102,15,0.36,0.26,0.67,1.0,0.85,0.67,0.43,0.33,0,0.33,0.62,0
Jose Aldo,Mark Hominick,1,0,UFC Featherweight Title Bout,Decision - Unanimous,5,5:00,5 Rnd (5-5-5-5-5),John McCarthy,,1,0,0.44,0.39,0.51,0.54,0.55,0.5,1,0,0,0,553,258,0.38,0.34,0.8,0.68,0.95,0.5,0.4,0.34,0,1.0,0.57,0.65
Michael McDonald,Chris Cariaso,1,0,Bantamweight Bout,Decision - Split,3,5:00,3 Rnd (5-5-5),Josh Rosenthal,,0,0,0.48,0.52,0.51,0.56,0.5,0.25,0,0,0,0,129,98,0.36,0.24,0.8,1.0,1.0,0.88,0.46,0.53,0,0.33,1.0,0.0
Thiago Alves,Rick Story,0,1,Welterweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Kim Winslow,,0,0,0.37,0.37,0.43,0.42,0.33,0.28,0,0,0,0,60,459,0.33,0.23,1.0,0.68,0.67,0.9,0.36,0.26,0.43,0.71,0,1.0
Stefan Struve,Travis Browne,0,1,Heavyweight Bout,KO/TKO,1,4:11,3 Rnd (5-5-5),Steve Mazzagatti,Punch to Head At Distance,0,1,0.43,0.47,0.43,0.46,0.0,1.0,2,0,1,0,39,73,0.27,0.39,0.8,0.67,0.67,0.57,0.38,0.34,1.0,1.0,0,1.0
Kendall Grove,Tim Boetsch,0,1,Middleweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Steve Mazzagatti,,0,0,0.44,0.77,0.72,0.81,0.33,0.5,0,0,0,1,108,600,0.05,0.57,1.0,0.8,0.58,1.0,0.22,0.55,1.0,1.0,1.0,1.0
Frank Mir,Roy Nelson,1,0,Heavyweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Josh Rosenthal,,0,0,0.71,0.41,0.8,0.6,0.75,0.0,0,0,0,0,444,240,0.61,0.31,0.94,0.75,1.0,1.0,0.61,0.39,0.69,0.43,1.0,0
Joseph Benavidez,Ian Loveland,1,0,Bantamweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Kevin Mulhall,,0,0,0.41,0.5,0.48,0.51,0.29,0.0,0,0,0,0,227,15,0.25,0.42,0.69,0.92,0.5,1.0,0.38,0.49,1.0,0.5,0.5,0.67
Ricardo Almeida,Mike Pyle,0,1,Welterweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Kevin MacDonald,,0,0,0.57,0.49,0.64,0.64,0.05,0.33,0,1,0,0,312,55,0.33,0.27,0.91,0.89,0.65,0.73,0.49,0.37,0.8,0.93,1.0,1.0
Quinton Jackson,Matt Hamill,1,0,Light Heavyweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Herb Dean,,0,0,0.43,0.38,0.45,0.39,0.0,0.0,0,0,0,0,62,75,0.31,0.27,0.81,0.33,1.0,0.74,0.35,0.38,0.65,0.38,0,0
Constantinos Philippou,Nick Catone,0,1,Catch Weight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Keith Peterson,,0,0,0.47,0.53,0.57,0.68,0.0,0.37,0,0,0,0,0,518,0.34,0.47,0.89,0.8,1.0,0.71,0.38,0.31,0.86,1.0,1.0,0.73
Luiz Cane,Eliot Marshall,1,0,Light Heavyweight Bout,KO/TKO,1,2:15,3 Rnd (5-5-5),Dan Miragliotta,Punches to Head On Ground,1,0,0.46,0.29,0.46,0.29,0.0,0.0,0,0,0,0,59,0,0.44,0.29,0,0,1.0,0,0.36,0.29,0,0,0.49,0
Erik Koch,Raphael Assuncao,1,0,Featherweight Bout,KO/TKO,1,2:32,3 Rnd (5-5-5),Kevin Mulhall,Punch to Head At Distance,1,0,0.22,0.45,0.26,0.45,0.0,0.0,0,0,0,0,2,0,0.12,0.25,1.0,0.75,1.0,0.75,0.22,0.45,0,0,0,0
Kurt Pellegrino,Gleison Tibau,0,1,Lightweight Bout,Decision - Split,3,5:00,3 Rnd (5-5-5),Herb Dean,,0,0,0.39,0.43,0.57,0.54,0.16,0.28,0,0,0,0,189,172,0.29,0.33,1.0,0.94,1.0,0,0.3,0.4,0.86,0.62,1.0,0.67
Edson Barboza,Anthony Njokuani,1,0,Lightweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Keith Peterson,,0,0,0.3,0.38,0.31,0.4,1.0,1.0,0,0,0,0,45,28,0.22,0.27,0.67,0.46,0.53,0.76,0.3,0.38,0.5,0.4,0,0.5
Dan Miller,Nate Marquardt,0,1,Middleweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Dan Miragliotta,,0,0,0.26,0.6,0.55,0.68,0.33,1.0,2,0,0,0,119,438,0.21,0.58,0.67,0.67,0.5,1.0,0.24,0.49,0.5,1.0,0,0.77
Urijah Faber,Eddie Wineland,1,0,Bantamweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Keith Peterson,,0,0,0.45,0.15,0.5,0.26,0.18,0.33,0,0,0,0,306,103,0.4,0.12,0.63,0.5,0.5,0.5,0.43,0.11,1.0,0.75,0.4,0.33
Mauricio Rua,Jon Jones,0,1,UFC Light Heavyweight Title Bout,KO/TKO,3,2:37,5 Rnd (5-5-5-5-5),Herb Dean,Knee to Head In Clinch,0,1,0.23,0.66,0.26,0.72,0.0,1.0,0,0,0,0,5,470,0.19,0.6,0.29,0.83,1.0,0.83,0.22,0.52,0.25,0.83,0,0.76
DaMarques Johnson,Mike Guymon,1,0,Welterweight Bout,Submission,1,3:22,3 Rnd (5-5-5),Don Turnage,"Injury  
      Back Injury",0,0,0.5,1.0,0.85,1.0,1.0,0.0,0,0,0,0,185,0,0.5,0,0,0,0,1.0,0.0,1.0,0,0,0.67,0
Jim Miller,Kamal Shalorus,1,0,Lightweight Bout,KO/TKO,3,2:15,3 Rnd (5-5-5),Kevin Mulhall,Knee to Head In Clinch,1,0,0.33,0.2,0.44,0.25,1.0,0.33,2,0,0,0,206,60,0.27,0.12,0.6,0.75,0.8,0.75,0.26,0.2,0.62,0.0,0.89,1.0
Mirko Filipovic,Brendan Schaub,0,1,Heavyweight Bout,KO/TKO,3,3:44,3 Rnd (5-5-5),Herb Dean,Punch to Head At Distance,0,1,0.54,0.48,0.73,0.7,0.0,0.5,0,0,0,0,110,417,0.46,0.38,0.73,0.73,0.5,1.0,0.28,0.11,0.75,0.73,1.0,0.6
Matt Mitrione,Tim Hague,1,0,Heavyweight Bout,KO/TKO,1,2:59,3 Rnd (5-5-5),Dan Miragliotta,Punch to Head At Distance,2,0,0.59,0.38,0.61,0.44,0.0,0.0,0,0,0,0,14,33,0.52,0.0,0,0.0,0.83,1.0,0.5,0.38,1.0,0,0.83,0
Cody McKenzie,Yves Edwards,0,1,Lightweight Bout,Submission,2,4:33,3 Rnd (5-5-5),Jon Schorle,"Rear Naked Choke
      Technical Submission",0,0,0.22,0.44,0.49,0.49,0.22,0.0,0,1,0,0,172,121,0.18,0.27,0.5,0.92,0.67,0.88,0.18,0.42,0.2,0.43,0.57,1.0
Pat Barry,Joey Beltran,1,0,Heavyweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mario Yamasaki,,1,0,0.51,0.31,0.56,0.44,0.0,0.0,0,0,0,0,53,262,0.25,0.23,1.0,0.7,0.94,0.76,0.5,0.19,0.5,0.67,1.0,0
Waylon Lowe,Nik Lentz,0,1,Lightweight Bout,Submission,3,2:24,3 Rnd (5-5-5),Anthony Hamlett,Guillotine Choke After Drop to Guard,0,0,0.75,0.56,0.78,0.64,0.66,0.0,1,1,0,0,270,16,0.74,0.45,1.0,0.87,0,0.8,0.74,0.52,0.83,0.67,1.0,1.0
Rani Yahya,Mike Brown,1,0,Featherweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mario Yamasaki,,0,0,0.69,0.48,0.75,0.68,0.27,1.0,2,0,1,0,464,217,0.64,0.32,0.59,0.67,0.92,1.0,0.57,0.06,0.83,0.88,0.79,1.0
Cole Miller,Matt Wiman,0,1,Lightweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Dan Miragliotta,,0,0,0.42,0.46,0.59,0.51,0.0,1.0,0,1,0,0,3,660,0.25,0.42,0.92,0.5,0,0.87,0.21,0.32,0.74,0.64,1.0,0.55
Mark Hominick,George Roop,1,0,Featherweight Bout,KO/TKO,1,1:28,3 Rnd (5-5-5),Don Turnage,Punch to Head At Distance,2,0,0.56,0.38,0.56,0.38,0.0,0.0,0,0,0,0,7,0,0.57,0.17,0.5,0.5,0,1.0,0.53,0.38,0,0,1.0,0
Mario Miranda,Aaron Simpson,0,1,Middleweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Dan Miragliotta,,0,0,0.93,0.79,0.95,0.77,0.0,0.38,0,0,0,0,69,761,0.86,0.43,1.0,1.0,1.0,1.0,0.75,0.25,1.0,1.0,0,0.74
Melvin Guillard,Evan Dunham,1,0,Lightweight Bout,KO/TKO,1,2:58,3 Rnd (5-5-5),Mario Yamasaki,Knees to Head In Clinch,2,0,0.52,0.2,0.64,0.2,0.0,0.16,0,0,0,0,5,58,0.5,0.0,0.67,0.5,0,0,0.47,0.2,0.67,0,0.43,0
Sean McCorkle,Christian Morecraft,0,1,Heavyweight Bout,Submission,2,4:10,3 Rnd (5-5-5),Anthony Hamlett,"Guillotine Choke Standing
      Technical Submission",0,0,0.57,0.48,0.63,0.67,0.5,0.5,0,2,0,1,78,368,0.5,0.4,1.0,1.0,0,1.0,0.5,0.24,0.0,0.75,1.0,0.6
John Hathaway,Kris McCray,1,0,Welterweight Bout,Decision - Split,3,5:00,3 Rnd (5-5-5),Herb Dean,,0,0,0.51,0.6,0.69,0.75,0.5,0.42,4,0,0,1,257,456,0.41,0.36,0.92,0.87,1.0,0.87,0.42,0.4,0.77,0.89,0.59,0.93
Michael McDonald,Edwin Figueroa,1,0,Bantamweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Josh Rosenthal,,0,0,0.48,0.46,0.49,0.53,1.0,0.0,3,0,0,2,240,235,0.4,0.33,0.82,0.8,0.88,0.83,0.46,0.44,0.62,0.2,0.5,1.0
Johny Hendricks,TJ Waldburger,1,0,Welterweight Bout,KO/TKO,1,1:35,3 Rnd (5-5-5),Mario Yamasaki,Punch to Head At Distance,1,0,0.88,0.33,0.9,0.33,0.0,0.0,0,0,0,0,26,31,0.75,0.0,1.0,1.0,0,1.0,0.67,0.25,1.0,1.0,1.0,0
Jon Madsen,Mike Russow,0,1,Heavyweight Bout,TKO - Doctor's Stoppage,2,5:00,3 Rnd (5-5-5),Anthony Hamlett,Eye Injury,0,0,0.45,0.47,0.49,0.63,0.0,0.5,0,0,0,0,0,206,0.42,0.44,0.5,0.67,0.75,0,0.41,0.44,0.83,0.6,0,0
DaMarques Johnson,Amir Sadollah,0,1,Welterweight Bout,KO/TKO,2,3:27,3 Rnd (5-5-5),Mario Yamasaki,"Elbows to Head From Mount
      Submission to Strikes",0,0,0.47,0.53,0.49,0.56,0.5,1.0,0,0,0,0,155,191,0.45,0.47,0.6,0.72,1.0,0.83,0.45,0.43,0.58,0.7,0.4,0.57
Anthony Johnson,Dan Hardy,1,0,Welterweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Josh Rosenthal,,1,0,0.56,0.15,0.79,0.48,0.8,0.0,2,3,0,0,765,0,0.53,0.1,0,0.5,0.75,0.0,0.6,0.1,0.8,0.33,0.5,0
Alex Caceres,Mackens Semerzier,0,1,Featherweight Bout,Submission,1,3:18,3 Rnd (5-5-5),Mario Yamasaki,Rear Naked Choke,0,0,0.29,0.9,0.5,0.86,0.0,0.6,0,1,0,0,0,172,0.29,0.88,0,1.0,0,1.0,0.29,0.67,0,1.0,0,1.0
Chan Sung Jung,Leonard Garcia,1,0,Featherweight Bout,Submission,2,4:59,3 Rnd (5-5-5),Dan Miragliotta,Twister From Back Control,0,0,0.3,0.17,0.39,0.18,0.5,0.0,1,0,0,0,162,0,0.24,0.13,1.0,0.67,0.75,0.33,0.24,0.16,1.0,0.5,0.57,0
Rob Kimmons,Dongi Yang,0,1,Middleweight Bout,KO/TKO,2,4:47,3 Rnd (5-5-5),Gary Copeland,Punches to Head From Back Control,0,1,0.07,0.8,0.58,0.8,1.0,1.0,0,2,0,1,20,497,0.07,0.77,0,1.0,0,1.0,0.08,0.57,0.0,0,0.0,0.86
Phil Davis,Rogerio Nogueira,1,0,Light Heavyweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Herb Dean,,0,0,0.42,0.15,0.5,0.24,0.36,0.0,0,0,0,0,369,0,0.27,0.13,0.7,0.0,0.73,1.0,0.26,0.15,0.83,0,0.67,0
Joe Stevenson,Danny Castillo,0,1,Lightweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Gary Copeland,,0,0,0.27,0.53,0.38,0.62,0.33,0.45,4,0,0,0,223,313,0.23,0.38,0.6,1.0,0.0,1.0,0.2,0.39,0.75,0.71,1.0,1.0
Alessio Sakara,Chris Weidman,0,1,Middleweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Gary Copeland,,0,0,0.38,0.43,0.43,0.57,0.0,0.62,0,0,1,0,3,479,0.22,0.39,0.73,0,0.83,1.0,0.33,0.35,0.62,0.29,0.67,0.69
Takeya Mizugaki,Reuben Duran,1,0,Bantamweight Bout,Decision - Split,3,5:00,3 Rnd (5-5-5),Herb Dean,,0,0,0.47,0.47,0.58,0.56,1.0,0.0,0,0,0,0,254,60,0.33,0.36,1.0,0.94,0.64,1.0,0.4,0.4,0.83,0.89,0.73,1.0
Diego Sanchez,Martin Kampmann,1,0,Welterweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Herb Dean,,0,1,0.25,0.39,0.25,0.39,0.06,0.0,0,0,0,0,98,22,0.22,0.38,0.57,0.57,1.0,1.0,0.2,0.35,0.41,0.56,0,0
Steve Cantwell,Cyrille Diabate,0,1,Light Heavyweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Herb Dean,,0,1,0.27,0.74,0.29,0.76,0.14,1.0,0,0,0,0,85,97,0.08,0.66,0.57,0.91,0.9,0.9,0.25,0.72,1.0,0.86,0.5,0.9
Brian Bowles,Damacio Page,1,0,Bantamweight Bout,Submission,1,3:30,3 Rnd (5-5-5),Chris Kinman,"Guillotine Choke After Drop to Guard
      Technical Submission",0,0,0.31,0.35,0.32,0.36,1.0,0.0,1,0,0,0,8,18,0.3,0.22,0.5,0.67,0,0.78,0.32,0.33,0,1.0,0.27,0
CB Dollaway,Mark Munoz,0,1,Middleweight Bout,KO/TKO,1,0:54,3 Rnd (5-5-5),Mario Yamasaki,Punch to Head At Distance,0,1,0.4,0.57,0.4,0.57,1.0,0.0,0,0,0,0,12,5,0.0,0.57,0.5,0,1.0,0,0.25,0.33,0,0.5,1.0,1.0
Mark Hunt,Chris Tuchscherer,1,0,Heavyweight Bout,KO/TKO,2,1:41,3 Rnd (5-5-5),John Sharp,Punch to Head In Clinch,1,0,0.33,0.24,0.43,0.42,0.0,0.25,0,0,0,0,2,105,0.34,0.22,0.0,1.0,0,0,0.32,0.2,0.5,1.0,0,1.0
Zhang Tiequan,Jason Reinhardt,1,0,Featherweight Bout,Submission,1,0:48,3 Rnd (5-5-5),Steve Perceval,Guillotine Choke After Drop to Guard,0,0,0.36,0.33,0.36,0.33,0.0,0.0,1,0,0,0,0,9,0.36,0.2,0,0,0,1.0,0.4,0.4,0.0,0.0,0,0
Alexander Gustafsson,James Te Huna,1,0,Light Heavyweight Bout,Submission,1,4:27,3 Rnd (5-5-5),Marc Goddard,Rear Naked Choke,0,0,0.44,1.0,0.77,1.0,0.5,0.25,2,0,0,0,57,175,0.44,1.0,0,0,0,0,0.0,0,0,0,0.67,1.0
Tom Blackledge,Anthony Perosh,0,1,Light Heavyweight Bout,Submission,1,2:45,3 Rnd (5-5-5),John Sharp,Rear Naked Choke,0,0,0.62,0.54,0.62,0.61,0.0,0.25,0,1,0,0,9,68,0.55,0.54,1.0,0,1.0,0,0.44,0.5,0,0,1.0,0.57
Maciej Jewtuszko,Curt Warburton,0,1,Lightweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Steve Perceval,,0,0,0.45,0.31,0.52,0.46,0.0,0.57,0,0,0,0,0,498,0.35,0.27,1.0,1.0,0.67,0.5,0.43,0.33,0.67,0.33,0,0.23
Thiago Tavares,Shane Roller,0,1,Lightweight Bout,KO/TKO,2,1:28,3 Rnd (5-5-5),Mario Yamasaki,Punch to Head At Distance,0,1,0.31,0.25,0.32,0.25,1.0,0.0,0,0,0,0,29,12,0.24,0.16,0.46,0.31,1.0,0.82,0.31,0.22,0.33,1.0,0,1.0
Nick Ring,Riki Fukuda,1,0,Middleweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Leon Roberts,,0,0,0.33,0.34,0.35,0.54,0.0,0.66,0,0,0,0,4,292,0.16,0.29,0.86,0.57,0.61,0.57,0.3,0.28,0.83,0.67,0,0.5
Chris Camozzi,Kyle Noke,0,1,Middleweight Bout,Submission,1,1:35,3 Rnd (5-5-5),John Sharp,Rear Naked Choke,0,0,0.57,0.4,0.57,0.4,0.0,1.0,0,1,0,0,41,0,0.0,0.25,1.0,1.0,1.0,1.0,0.57,0.33,0,0,0,1.0
George Sotiropoulos,Dennis Siver,0,1,Lightweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Leon Roberts,,0,2,0.19,0.33,0.19,0.34,0.0,0.0,0,0,0,0,8,19,0.16,0.22,0.33,0.71,0.4,0.79,0.19,0.31,0.0,0.44,0,1.0
Ross Pearson,Spencer Fisher,1,0,Lightweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Herb Dean,,0,0,0.3,0.25,0.33,0.28,0.5,1.0,0,0,0,0,116,32,0.24,0.16,0.43,0.5,0.65,0.87,0.28,0.23,0.67,0.5,0.17,1.0
Brian Ebersole,Chris Lytle,1,0,Welterweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Steve Perceval,,1,0,0.52,0.36,0.7,0.54,0.5,0.0,1,5,0,2,454,91,0.4,0.27,0.9,0.65,0.67,0.0,0.45,0.35,0.62,0.42,0.6,0
BJ Penn,Jon Fitch,0,0,Welterweight Bout,Decision - Majority,3,5:00,3 Rnd (5-5-5),Herb Dean,,0,0,0.41,0.65,0.73,0.8,0.66,0.36,1,0,0,2,217,643,0.36,0.57,1.0,0.75,0.67,1.0,0.1,0.83,0.53,0.59,0.75,0.67
Michael Bisping,Jorge Rivera,1,0,Middleweight Bout,KO/TKO,2,1:54,3 Rnd (5-5-5),Marc Goddard,Punches to Head In Clinch,1,0,0.41,0.15,0.43,0.17,0.37,0.0,0,0,0,0,77,0,0.35,0.12,1.0,0.0,1.0,1.0,0.31,0.15,0.65,0.0,0.64,0
Dustin Poirier,Josh Grispi,1,0,Featherweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Steve Mazzagatti,,0,0,0.52,0.37,0.59,0.56,0.0,0.22,0,2,1,0,469,162,0.46,0.26,0.69,0.5,0.92,0.67,0.54,0.37,0.5,0.36,0.58,0.5
Jacob Volkmann,Antonio McKee,1,0,Lightweight Bout,Decision - Split,3,5:00,3 Rnd (5-5-5),Steve Mazzagatti,,0,0,0.21,0.45,0.36,0.55,0.5,0.25,2,0,0,1,264,168,0.08,0.33,1.0,0.89,0.62,1.0,0.16,0.39,0,0.8,1.0,0.67
Phil Baroni,Brad Tavares,0,1,Middleweight Bout,KO/TKO,1,4:20,3 Rnd (5-5-5),Josh Rosenthal,Punches to Head In Clinch,1,1,0.69,0.71,0.79,0.74,0.0,0.0,1,0,0,0,109,44,0.55,0.65,1.0,1.0,1.0,0.75,0.4,0.73,0.67,0.8,0.88,0.6
Daniel Roberts,Greg Soto,1,0,Welterweight Bout,Submission,1,3:45,3 Rnd (5-5-5),Kim Winslow,Kimura From Side Control,0,0,0.23,0.46,0.36,0.46,0.5,0.0,2,1,0,0,106,31,0.23,0.45,0,0.5,0,0,0.25,0.22,0,1.0,0.0,1.0
Clay Guida,Takanori Gomi,1,0,Lightweight Bout,Submission,2,4:27,3 Rnd (5-5-5),Josh Rosenthal,Guillotine Choke From Bottom Half Guard,0,0,0.2,0.17,0.23,0.17,0.33,0.0,2,0,0,0,108,32,0.18,0.14,0.5,1.0,0,0,0.19,0.16,0,1.0,0.5,0
Mike Brown,Diego Nunes,0,1,Featherweight Bout,Decision - Split,3,5:00,3 Rnd (5-5-5),Yves Lavigne,,0,0,0.58,0.59,0.62,0.61,0.25,0.0,0,0,0,0,295,130,0.39,0.42,0.69,0.81,0.89,0.81,0.25,0.55,0.8,0.68,0.92,0.5
Chris Leben,Brian Stann,0,1,Middleweight Bout,KO/TKO,1,3:37,3 Rnd (5-5-5),Josh Rosenthal,Knee to Head In Clinch,0,3,0.28,0.6,0.47,0.7,0.0,0.0,0,1,0,0,8,104,0.12,0.55,0.6,0.88,0.5,0.5,0.2,0.53,0.4,0.67,0,0.62
Nate Diaz,Dong Hyun Kim,0,1,Welterweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Yves Lavigne,,0,0,0.42,0.41,0.59,0.52,1.0,0.42,1,0,1,1,117,498,0.33,0.26,0.83,1.0,0.67,0.82,0.27,0.42,0.79,1.0,1.0,0.36
Jeremy Stephens,Marcus Davis,1,0,Lightweight Bout,KO/TKO,3,2:33,3 Rnd (5-5-5),Kim Winslow,Punch to Head At Distance,1,0,0.37,0.22,0.53,0.48,0.0,0.5,2,0,0,0,62,263,0.18,0.19,0.89,0.33,1.0,0.6,0.26,0.23,1.0,0.0,0.67,0
Karo Parisyan,Dennis Hallman,0,1,Welterweight Bout,KO/TKO,1,1:47,3 Rnd (5-5-5),Dan Miragliotta,Punches to Head On Ground,0,1,0.33,0.71,0.56,0.82,0.0,0.0,0,0,0,0,58,5,0.33,0.6,0,1.0,0,0,0.33,0.5,0,0.86,0,0.67
Mike Lullo,Edson Barboza,0,1,Lightweight Bout,KO/TKO,3,0:26,3 Rnd (5-5-5),Marc Fennell,Kicks to Leg At Distance,0,2,0.27,0.62,0.65,0.63,0.0,1.0,1,0,0,0,10,312,0.25,0.42,0.25,0.6,0.4,0.92,0.27,0.64,0,0.0,0,0.0
Brandon Vera,Thiago Silva,0,0,Light Heavyweight Bout,Overturned,3,5:00,3 Rnd (5-5-5),Steve Mazzagatti,,0,0,0.43,0.51,0.51,0.68,0.0,1.0,0,1,0,0,24,773,0.23,0.44,0.58,0.86,0.7,0.75,0.41,0.27,0.5,0.7,0.0,0.58
Frankie Edgar,Gray Maynard,0,0,UFC Lightweight Title Bout,Decision - Split,5,5:00,5 Rnd (5-5-5-5-5),Yves Lavigne,,0,3,0.42,0.33,0.43,0.39,0.27,0.17,2,1,0,0,87,133,0.36,0.31,0.54,0.62,0.81,1.0,0.41,0.3,0.5,0.7,1.0,0.5
Matt Brown,Brian Foster,0,1,Welterweight Bout,Submission,2,2:11,3 Rnd (5-5-5),Herb Dean,Guillotine Choke After Drop to Guard,0,0,0.62,0.57,0.72,0.57,1.0,1.0,1,2,1,1,109,200,0.5,0.47,0.75,0.89,0.67,0.67,0.5,0.55,1.0,1.0,1.0,0.55
Phil Davis,Tim Boetsch,1,0,Light Heavyweight Bout,Submission,2,2:55,3 Rnd (5-5-5),Herb Dean,Kimura From Side Control,0,0,0.44,0.37,0.52,0.45,1.0,0.0,2,1,0,0,286,7,0.25,0.25,0.6,0.5,0.8,0.6,0.4,0.39,0.7,0.0,0.4,0
Aaron Simpson,Mark Munoz,0,1,Middleweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Marc Fennell,,0,0,0.36,0.49,0.48,0.53,0.45,0.25,0,0,0,1,194,177,0.23,0.34,0.75,0.83,1.0,0.76,0.32,0.38,0.47,0.58,0.67,0.8
Quinton Jackson,Lyoto Machida,1,0,Light Heavyweight Bout,Decision - Split,3,5:00,3 Rnd (5-5-5),Herb Dean,,0,0,0.33,0.65,0.67,0.75,1.0,0.33,0,1,0,0,141,278,0.22,0.57,1.0,0.86,0.8,0.67,0.17,0.65,0.71,0.6,0,1.0
TJ Grant,Ricardo Almeida,0,1,Welterweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Philippe Chartier,,0,0,0.33,0.56,0.61,0.68,0.0,0.75,0,0,1,0,52,739,0.14,0.53,1.0,1.0,1.0,1.0,0.33,0.53,0.2,0.5,0.5,0.57
George Sotiropoulos,Joe Lauzon,1,0,Lightweight Bout,Submission,2,2:43,3 Rnd (5-5-5),Marc Fennell,Kimura From Side Control,0,0,0.27,0.2,0.32,0.27,0.27,0.0,2,0,0,1,203,45,0.21,0.18,0.67,1.0,0,0,0.24,0.09,0.33,0.86,1.0,0.5
Gerald Harris,Maiquel Falcao,0,1,Middleweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Dan Miragliotta,,0,1,0.13,0.56,0.13,0.7,0.28,1.0,0,3,0,0,58,244,0.09,0.49,0.75,1.0,0,0.5,0.11,0.41,0.33,0.56,0,0.79
Matt Hughes,BJ Penn,0,1,Welterweight Bout,KO/TKO,1,0:21,3 Rnd (5-5-5),Dan Miragliotta,Punch to Head At Distance,0,1,0.5,0.78,0.5,0.78,0.0,0.0,0,0,0,0,0,3,0.4,0.78,1.0,0,0,0,0.5,0.67,0,0,0,1.0
Jesse Bongfeldt,Rafael Natal,0,0,Middleweight Bout,Decision - Majority,3,5:00,3 Rnd (5-5-5),Dan Miragliotta,,0,0,0.65,0.57,0.71,0.71,0.33,0.62,0,0,2,0,316,362,0.58,0.53,1.0,0.5,0.88,1.0,0.45,0.25,0.86,0.67,0.76,0.83
