r_fighter,b_fighter,r_win,b_win,wei_class,method,round,time,t_format,ref,details,r_kd,b_kd,r_sigstr,b_sigstr,r_totstr,b_totstr,r_td,b_td,r_sub,b_sub,r_rev,b_rev,r_ctrl,b_ctrl,r_hstr,b_hstr,r_bstr,b_bstr,r_lstr,b_lstr,r_dis,b_dis,r_cli,b_cli,r_gro,b_gro
Jordan Griffin,TJ Brown,1,0,Featherweight Bout,Submission,2,3:38,3 Rnd (5-5-5),Mike King,Guillotine Choke From Bottom Side Control,0,0,0.65,0.68,0.71,0.76,0.0,1.0,3,0,0,0,5,452,0.62,0.67,1.0,0.86,0,0.0,0.53,0.41,1.0,1.0,1.0,0.87
Luis Pena,Steve Garcia,1,0,Lightweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mike King,,0,0,0.64,0.54,0.61,0.64,0.0,1.0,1,1,0,0,842,14,0.63,0.47,0.5,0.67,1.0,1.0,0.4,0.52,0.67,1.0,0.79,0.55
Brendan Allen,Tom Breese,1,0,Middleweight Bout,KO/TKO,1,4:47,3 Rnd (5-5-5),Bill Bookwalter,Punches to Head On Ground,0,0,0.69,0.8,0.73,0.83,0.0,0.0,0,0,0,0,254,12,0.65,0,1.0,0.8,0,0,0.67,0.0,0.67,1.0,0.7,0
Gabriel Silva,Kyler Phillips,0,1,Bantamweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Dan Miragliotta,,0,0,0.32,0.53,0.38,0.57,0.33,0.5,1,1,0,0,149,352,0.26,0.47,0.67,0.68,1.0,1.0,0.3,0.47,0.33,0.73,0.6,0.69
Grant Dawson,Darrick Minner,1,0,Featherweight Bout,Submission,2,1:38,3 Rnd (5-5-5),Kevin MacDonald,Rear Naked Choke,0,0,0.68,0.57,0.81,0.9,0.66,1.0,2,2,0,1,315,26,0.67,0.33,1.0,1.0,0,0.67,0.5,0.4,0,1.0,0.7,1.0
Felicia Spencer,Zarah Fairn,1,0,Women's Featherweight Bout,KO/TKO,1,3:37,3 Rnd (5-5-5),Dan Miragliotta,Punches to Head From Mount,0,0,0.62,0.46,0.69,0.48,0.5,0.0,0,0,0,0,141,0,0.62,0.44,1.0,1.0,0.5,0,0.38,0.46,1.0,0.5,0.77,0
Megan Anderson,Norma Dumont,1,0,Women's Featherweight Bout,KO/TKO,1,3:31,3 Rnd (5-5-5),Kevin MacDonald,Punch to Head At Distance,1,0,0.5,0.31,0.82,0.56,0.0,0.33,0,0,1,0,14,139,0.5,0.11,0.5,0.8,0,0.0,0.45,0.09,1.0,0.8,0.0,0
Ion Cutelaba,Magomed Ankalaev,0,1,Light Heavyweight Bout,KO/TKO,1,0:38,3 Rnd (5-5-5),Kevin MacDonald,Punches to Head At Distance,0,0,0.45,0.67,0.45,0.67,0.0,0.0,0,0,0,0,0,0,0.38,0.6,0.0,1.0,1.0,1.0,0.45,0.67,0,0,0,0
Kevin Aguilar,Zubaira Tukhugov,0,1,Featherweight Bout,KO/TKO,1,3:21,3 Rnd (5-5-5),Marc Goddard,Punches to Head On Ground,0,2,0.32,0.78,0.32,0.76,0.0,0.0,0,0,0,0,0,9,0.18,0.76,0.75,1.0,1.0,0,0.32,0.68,0,0,0,0.93
Jake Matthews,Emil Meek,1,0,Welterweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),John Sharp,,1,0,0.45,0.42,0.63,0.52,0.57,0.0,0,0,0,0,507,4,0.46,0.37,0.33,0.83,0,0.45,0.42,0.24,0.8,0.72,0.5,0.91
